Age,Gender,Education Level,Job Title,Years of Experience,Monthly Salary
29,Female,Bachelor's,Graphic Designer,3,5000000
36,Male,Bachelor's,Sales Manager,9,9500000
27,Female,Master's,UX Researcher,2,6500000
43,Male,PhD,Senior Engineer,17,14000000
30,Female,Bachelor's,Social Media Manager,4,5500000
35,Male,Master's,Product Manager,7,10500000
51,Female,Master's,Director of Operations,23,17000000
29,Male,Bachelor's,Marketing Analyst,3,5000000
40,Female,Bachelor's,HR Manager,12,8000000
47,Male,PhD,Senior Data Scientist,21,18000000
26,Male,Bachelor's,Junior Accountant,1,3500000
38,Female,Master's,Digital Marketing Manager,10,9000000
46,Male,Bachelor's,IT Manager,19,12000000
31,Female,Bachelor's,Customer Service Representative,5,4500000
34,Male,Master's,Business Development Manager,8,9000000
49,Female,Master's,Senior Financial Analyst,18,15000000
33,Male,Bachelor's,Web Developer,6,6500000
39,Female,Bachelor's,Recruiter,11,7000000
45,Male,PhD,Research Director,16,19000000
28,Male,Bachelor's,Technical Support Specialist,2,4000000
42,Female,Master's,Creative Director,14,12000000
37,Male,Bachelor's,Project Manager,10,9500000
50,Female,Bachelor's,Operations Manager,22,16000000
32,Male,Master's,Senior Software Engineer,6,10000000
48,Female,Master's,Human Resources Director,20,18000000
30,Female,Bachelor's,Content Marketing Manager,3,5500000
36,Male,Bachelor's,Technical Recruiter,8,7000000
41,Female,Master's,Data Analyst,13,8000000
25,Male,Bachelor's,Sales Representative,0,3000000
52,Male,PhD,Chief Technology Officer,24,25000000
29,Female,Bachelor's,Junior Designer,2,4000000
34,Female,Master's,Financial Advisor,10,9500000
27,Male,Bachelor's,Junior Account Manager,2,4500000
40,Female,Bachelor's,HR Generalist,15,8000000
46,Male,Master's,Senior Project Manager,21,13500000
31,Female,Bachelor's,Marketing Coordinator,6,5500000
36,Male,PhD,Principal Scientist,11,12000000
29,Female,Bachelor's,Sales Associate,3,4000000
43,Male,Bachelor's,Supply Chain Manager,18,10500000
52,Female,Master's,Senior Marketing Manager,25,17000000
33,Male,Bachelor's,Business Analyst,7,7500000
39,Female,Bachelor's,Training Specialist,12,6500000
47,Male,PhD,Research Scientist,22,16000000
26,Male,Bachelor's,Junior Software Developer,1,3500000
38,Female,Master's,Public Relations Manager,10,9000000
45,Male,Bachelor's,Operations Analyst,20,11000000
31,Female,Bachelor's,Event Coordinator,5,4500000
35,Male,Master's,Product Marketing Manager,8,9500000
49,Female,Master's,Senior HR Manager,19,15000000
33,Male,Bachelor's,Junior Web Developer,5,5000000
39,Female,Master's,Senior Project Coordinator,13,8000000
44,Male,PhD,Chief Data Officer,16,22000000
30,Female,Bachelor's,Digital Content Producer,3,5000000
36,Male,Bachelor's,IT Support Specialist,7,6000000
41,Female,Master's,Senior Marketing Analyst,14,10000000
28,Male,Bachelor's,Customer Success Manager,2,4000000
42,Female,Master's,Senior Graphic Designer,15,11000000
37,Male,Bachelor's,Software Project Manager,9,9500000
50,Female,Bachelor's,Supply Chain Analyst,22,13000000
32,Male,Master's,Senior Business Analyst,6,9000000
23,Female,Bachelor's,Junior Marketing Analyst,0.5,3500000
31,Male,Master's,Senior Financial Analyst,6,9500000
40,Female,Bachelor's,Office Manager,15,6500000
48,Male,PhD,Principal Engineer,20,17000000
29,Female,Bachelor's,Junior HR Generalist,3,4500000
35,Male,Master's,Senior Product Manager,10,12000000
42,Female,Bachelor's,Sales Manager,17,10000000
53,Male,Master's,Director of Marketing,25,18000000
33,Female,Bachelor's,Junior Operations Analyst,5,5000000
38,Male,Bachelor's,Customer Service Manager,11,8000000
44,Female,PhD,Senior Scientist,16,14000000
26,Male,Bachelor's,Junior Accountant,2,4000000
37,Female,Master's,Senior HR Generalist,9,9500000
45,Male,Bachelor's,Sales Operations Manager,18,11000000
32,Female,Bachelor's,Marketing Coordinator,4,5000000
34,Male,Master's,Senior Software Developer,8,10500000
50,Female,Master's,Director of Operations,21,16000000
29,Male,Bachelor's,Junior Web Designer,3,4500000
40,Female,Master's,Senior Training Specialist,12,10000000
47,Male,PhD,Senior Research Scientist,22,16000000
27,Male,Bachelor's,Junior Sales Representative,1,3500000
39,Female,Bachelor's,Administrative Assistant,10,5500000
46,Male,Master's,Senior Project Manager,19,14000000
30,Female,Bachelor's,Junior Marketing Manager,4,5000000
36,Male,Bachelor's,Junior Data Analyst,7,6000000
43,Female,Master's,Senior Product Marketing Manager,14,12000000
28,Male,Bachelor's,Junior Business Analyst,2,4000000
41,Female,Master's,Senior Marketing Manager,13,11000000
33,Male,Bachelor's,Junior Software Developer,5,5000000
47,Male,Bachelor's,Senior Sales Manager,20,13500000
25,Female,Master's,Junior Marketing Specialist,1.5,4000000
34,Male,Bachelor's,Senior Business Analyst,8,9000000
42,Female,PhD,Senior Data Scientist,16,15000000
31,Male,Bachelor's,Junior Project Manager,4,6000000
38,Female,Bachelor's,Senior Accountant,10,8000000
45,Male,Master's,Director of Sales,19,17500000
29,Female,Bachelor's,Junior Recruiter,3,4500000
36,Male,Master's,Senior Business Development Manager,11,12000000
43,Female,PhD,Senior Product Designer,18,14000000
26,Male,Bachelor's,Junior Customer Support Specialist,2,3500000
37,Female,Master's,Senior Marketing Analyst,9,9500000
44,Male,Bachelor's,Senior IT Support Specialist,14,11000000
32,Female,Bachelor's,Junior Financial Analyst,5,5000000
33,Male,Master's,Senior Operations Manager,7,11500000
51,Female,PhD,Director of Human Resources,23,18500000
28,Male,Bachelor's,Junior Software Engineer,2,4000000
39,Female,Bachelor's,Senior Sales Representative,12,9000000
48,Male,Master's,Director of Product Management,21,17500000
30,Female,Bachelor's,Junior Copywriter,3,4500000
35,Male,Bachelor's,Senior Marketing Coordinator,7,8000000
41,Female,Master's,Senior Human Resources Manager,13,12000000
27,Male,Bachelor's,Junior Business Development Associate,1.5,3500000
40,Female,Bachelor's,Senior Account Manager,14,11000000
46,Male,PhD,Senior Researcher,18,15000000
31,Female,Bachelor's,Junior HR Coordinator,4,5000000
34,Male,Master's,Senior Software Engineer,9,10500000
50,Female,Master's,Director of Finance,20,18000000
29,Male,Bachelor's,Junior Marketing Coordinator,2,4000000
,,,,,0
43,Male,Bachelor's,Senior Project Manager,16,14000000
26,Female,Master's,Junior Data Scientist,1.5,4500000
35,Male,Bachelor's,Senior Operations Analyst,7,8500000
42,Female,PhD,Senior Marketing Manager,18,14000000
31,Male,Bachelor's,Junior Accountant,4,5000000
38,Female,Bachelor's,Senior Human Resources Coordinator,10,8000000
46,Male,Master's,Director of Operations,20,17000000
29,Female,Bachelor's,Junior Sales Representative,2,4000000
37,Male,Master's,Senior Business Analyst,9,10500000
44,Female,PhD,Senior UX Designer,15,14500000
27,Male,Bachelor's,Junior Product Manager,2,4000000
36,Female,Bachelor's,Senior Marketing Specialist,8,8500000
43,Male,Bachelor's,Senior IT Project Manager,14,13000000
33,Female,Master's,Senior Financial Analyst,6,9500000
34,Male,Bachelor's,Senior Quality Assurance Analyst,9,10000000
50,Female,PhD,Director of Sales and Marketing,22,18000000
28,Male,Bachelor's,Junior Operations Analyst,1.5,3500000
39,Female,Bachelor's,Senior Account Executive,12,9500000
47,Male,Master's,Director of Business Development,19,17000000
30,Female,Bachelor's,Junior Social Media Manager,3,4500000
34,Male,Bachelor's,Senior Product Manager,7,9500000
40,Female,Master's,Senior Human Resources Specialist,13,12000000
28,Male,Bachelor's,Junior Business Analyst,2,4000000
41,Female,Bachelor's,Senior Marketing Coordinator,11,9000000
45,Male,PhD,Senior Data Analyst,17,15500000
32,Female,Bachelor's,Junior Account Manager,5,5500000
35,Male,Master's,Senior Software Developer,9,11000000
49,Female,Master's,Director of Human Capital,21,18000000
30,Male,Bachelor's,Junior Advertising Coordinator,3,4500000
44,Male,Bachelor's,Senior Sales Manager,16,13000000
27,Female,Master's,Junior UX Designer,1.5,4500000
36,Male,Bachelor's,Senior Accountant,7,9000000
41,Female,PhD,Senior Marketing Director,17,16000000
31,Male,Bachelor's,Junior HR Generalist,4,5000000
39,Female,Bachelor's,Senior Operations Manager,10,12000000
47,Male,Master's,Director of Finance,20,17000000
30,Female,Bachelor's,Junior Marketing Coordinator,2,4000000
38,Male,Master's,Senior IT Consultant,9,11000000
45,Female,PhD,Senior Product Designer,15,15000000
28,Male,Bachelor's,Junior Business Development Associate,2,4000000
35,Female,Bachelor's,Senior Marketing Analyst,8,8500000
44,Male,Bachelor's,Senior Software Engineer,14,13000000
34,Female,Master's,Senior Financial Advisor,6,10000000
35,Male,Bachelor's,Senior Project Coordinator,9,9500000
50,Female,PhD,Director of Operations,22,18000000
29,Male,Bachelor's,Junior Business Operations Analyst,1.5,3500000
40,Female,Bachelor's,Senior Sales Representative,12,10000000
48,Male,Master's,Director of Marketing,19,17000000
31,Female,Bachelor's,Junior Social Media Specialist,3,4500000
33,Male,Bachelor's,Senior Product Development Manager,7,10000000
42,Female,Master's,Senior Human Resources Manager,13,14000000
28,Male,Bachelor's,Junior Financial Analyst,2,4000000
40,Female,Bachelor's,Senior Marketing Manager,11,10500000
46,Male,PhD,Senior Data Scientist,18,16000000
33,Female,Bachelor's,Junior Operations Manager,5,7000000
37,Male,Master's,Senior Software Architect,9,12000000
51,Female,Master's,Director of Human Resources,21,19000000
30,Male,Bachelor's,Junior Marketing Specialist,3,4500000
43,Male,Bachelor's,Senior Project Manager,15,12000000
27,Female,Master's,Junior Research Scientist,1.5,5000000
35,Male,Bachelor's,Senior Operations Analyst,8,8500000
42,Female,PhD,Senior Marketing Manager,13,14000000
32,Male,Bachelor's,Junior Sales Representative,3,4500000
37,Female,Bachelor's,Senior Financial Analyst,9,10000000
45,Male,Master's,Senior Software Developer,16,14000000
33,Female,Bachelor's,Junior Operations Analyst,5,7000000
39,Male,Bachelor's,Senior Marketing Specialist,10,12000000
44,Female,PhD,Senior HR Manager,18,16000000
29,Male,Bachelor's,Junior Business Analyst,1.5,4000000
38,Female,Bachelor's,Senior Product Manager,10,12000000
46,Male,PhD,Senior Data Analyst,19,15000000
34,Female,Bachelor's,Junior Marketing Analyst,6,7000000
36,Male,Bachelor's,Senior Operations Manager,8,9500000
49,Female,Master's,Director of Marketing,21,18000000
31,Male,Bachelor's,Junior Financial Analyst,3,5000000
41,Female,Bachelor's,Senior Project Coordinator,11,9500000
47,Male,Master's,Director of Operations,20,17000000
30,Female,Bachelor's,Junior Marketing Coordinator,2,4000000
38,Male,Master's,Senior IT Consultant,9,11000000
45,Female,PhD,Senior Product Designer,15,15000000
28,Male,Bachelor's,Junior Business Development Associate,2,4000000
35,Female,Bachelor's,Senior Marketing Analyst,8,8500000
44,Male,Bachelor's,Senior Software Engineer,14,13000000
34,Female,Master's,Senior Financial Advisor,6,10000000
35,Male,Bachelor's,Senior Project Coordinator,9,9500000
50,Female,PhD,Director of Operations,22,18000000
29,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000
,,,,,0
37,Female,Bachelor's,Senior Financial Manager,10,12000000
46,Male,PhD,Senior Data Scientist,18,16000000
31,Female,Bachelor's,Junior Marketing Coordinator,3,5000000
42,Male,Bachelor's,Senior Operations Manager,12,11000000
29,Female,Bachelor's,Junior Sales Representative,1.5,4000000
36,Male,Bachelor's,Senior Marketing Specialist,8,9500000
44,Female,Master's,Senior HR Specialist,15,14000000
33,Male,Bachelor's,Junior Operations Manager,4,6000000
39,Female,Bachelor's,Senior Marketing Coordinator,9,11000000
45,Male,PhD,Senior Data Engineer,16,15000000
32,Female,Bachelor's,Junior Marketing Manager,4,6000000
37,Male,Bachelor's,Senior Financial Analyst,8,9000000
47,Female,Master's,Director of Marketing,20,18000000
30,Male,Bachelor's,Junior Business Analyst,2,4000000
38,Female,Bachelor's,Senior Project Manager,9,12000000
46,Male,PhD,Senior Data Analyst,17,16000000
34,Female,Bachelor's,Junior Financial Analyst,5,7000000
36,Male,Bachelor's,Senior Product Manager,8,9500000
49,Female,Master's,Director of Operations,21,18000000
31,Male,Bachelor's,Junior Operations Analyst,3,5000000
41,Female,Bachelor's,Senior Project Coordinator,11,9500000
47,Male,Master's,Director of Marketing,19,17000000
29,Female,Bachelor's,Junior Business Development Associate,1.5,3500000
35,Male,Bachelor's,Senior Financial Manager,9,10000000
44,Female,PhD,Senior Product Designer,15,15000000
33,Male,Bachelor's,Junior Business Analyst,4,6000000
35,Female,Bachelor's,Senior Marketing Analyst,8,8500000
44,Male,Bachelor's,Senior Software Engineer,13,13000000
32,Male,Bachelor's,Junior Product Manager,4,6500000
38,Female,Bachelor's,Senior Business Analyst,10,11000000
49,Male,PhD,Director of Operations,21,18000000
29,Female,Bachelor's,Junior Marketing Specialist,2,4000000
35,Male,Bachelor's,Senior Business Development Manager,7,9000000
45,Female,Master's,Senior HR Manager,14,14000000
33,Male,Bachelor's,Junior Financial Analyst,4,6000000
40,Female,Bachelor's,Senior Marketing Manager,12,13000000
44,Male,PhD,Senior Data Scientist,16,16000000
30,Female,Bachelor's,Junior Operations Coordinator,2,4000000
37,Male,Bachelor's,Senior Marketing Analyst,9,10000000
48,Female,Master's,Director of HR,20,18000000
31,Male,Bachelor's,Junior Project Manager,3,5500000
38,Female,Bachelor's,Senior Operations Coordinator,9,12000000
45,Male,PhD,Senior Data Engineer,16,15000000
33,Female,Bachelor's,Junior Marketing Manager,5,7000000
36,Male,Bachelor's,Senior Business Analyst,8,9500000
49,Female,Master's,Director of Marketing,21,18000000
31,Male,Bachelor's,Junior Operations Analyst,3,5000000
42,Female,Bachelor's,Senior Project Manager,12,12000000
47,Male,Master's,Director of Marketing,19,17000000
29,Female,Bachelor's,Junior Business Development Associate,1.5,3500000
35,Male,Bachelor's,Senior Financial Manager,9,10000000
44,Female,PhD,Senior Product Designer,15,15000000
33,Male,Bachelor's,Junior Business Analyst,4,6000000
35,Female,Bachelor's,Senior Marketing Analyst,8,8500000
44,Male,Bachelor's,Senior Software Engineer,13,13000000
34,Female,Master's,Senior Financial Advisor,6,8000000
36,Male,Bachelor's,Senior Marketing Specialist,8,9500000
30,Female,Bachelor's,Junior HR Coordinator,2,4000000
37,Male,Bachelor's,Senior Business Development Manager,10,12000000
45,Female,Master's,Senior Marketing Manager,16,16000000
32,Male,Bachelor's,Junior Financial Advisor,4,6500000
39,Female,Bachelor's,Senior Project Manager,12,13000000
47,Male,PhD,Director of Engineering,20,18000000
29,Female,Bachelor's,Junior Marketing Analyst,2,4000000
36,Male,Bachelor's,Senior Operations Manager,9,10000000
43,Female,PhD,Senior Data Scientist,15,15000000
32,Male,Bachelor's,Junior Marketing Coordinator,3,5500000
38,Female,Bachelor's,Senior Business Analyst,10,11000000
48,Male,Master's,Director of Marketing,21,18000000
31,Female,Bachelor's,Junior Business Development Associate,3,5000000
40,Male,Bachelor's,Senior Financial Analyst,12,13000000
45,Female,PhD,Senior UX Designer,16,16000000
33,Male,Bachelor's,Junior Product Manager,4,6000000
36,Female,Bachelor's,Senior Marketing Manager,8,9500000
47,Male,Master's,Director of Operations,19,17000000
29,Female,Bachelor's,Junior Project Manager,2,4000000
34,Male,Bachelor's,Senior Operations Coordinator,7,9000000
44,Female,PhD,Senior Business Analyst,15,15000000
33,Male,Bachelor's,Junior Marketing Specialist,5,7000000
35,Female,Bachelor's,Senior Financial Manager,8,9000000
43,Male,Master's,Director of Marketing,18,17000000
31,Female,Bachelor's,Junior Financial Analyst,3,5000000
41,Male,Bachelor's,Senior Product Manager,14,15000000
44,Female,PhD,Senior Data Engineer,16,16000000
33,Male,Bachelor's,Junior Business Analyst,4,6000000
35,Female,Bachelor's,Senior Marketing Analyst,8,8500000
45,Male,Master's,Director of Engineering,19,18000000
28,Female,Bachelor's,Junior Operations Manager,1,3500000
36,Male,Bachelor's,Senior Business Development Manager,8,11000000
44,Female,PhD,Senior Data Scientist,16,16000000
31,Male,Bachelor's,Junior Marketing Coordinator,3,5500000
38,Female,Bachelor's,Senior Business Analyst,10,11000000
48,Male,Master's,Director of Marketing,21,18000000
31,Female,Bachelor's,Junior Business Development Associate,3,5000000
40,Male,Bachelor's,Senior Financial Analyst,12,13000000
45,Female,PhD,Senior UX Designer,16,16000000
33,Male,Bachelor's,Junior Product Manager,4,6000000
36,Female,Bachelor's,Senior Marketing Manager,8,9500000
47,Male,Master's,Director of Operations,19,17000000
29,Female,Bachelor's,Junior Project Manager,2,4000000
34,Male,Bachelor's,Senior Operations Coordinator,7,9000000
44,Female,PhD,Senior Business Analyst,15,15000000
33,Male,Bachelor's,Junior Marketing Specialist,5,7000000
35,Female,Bachelor's,Senior Financial Manager,8,9000000
43,Male,Master's,Director of Marketing,18,17000000
31,Female,Bachelor's,Junior Financial Analyst,3,5000000
41,Male,Bachelor's,Senior Product Manager,14,15000000
44,Female,PhD,Senior Data Engineer,16,16000000
33,Male,Bachelor's,Junior Business Analyst,4,6000000
35,Female,Bachelor's,Senior Marketing Analyst,8,8500000
43,Male,Master's,Director of Operations,19,17000000
29,Female,Bachelor's,Junior Project Manager,2,4000000
34,Male,Bachelor's,Senior Operations Coordinator,7,9000000
44,Female,PhD,Senior Business Analyst,15,15000000
31,Male,Master's,Data Scientist,6,16000000
28,Female,Bachelor's,Software Engineer,3,12500000
26,Male,Master's,Product Manager,2,12000000
27,Female,Bachelor's,Data Analyst,2,11000000
30,Male,PhD,Data Scientist,5,18000000
29,Female,Bachelor's,Software Engineer,4,14000000
32,Male,Bachelor's,Product Manager,7,17000000
25,Female,Master's,Data Analyst,1,10000000
33,Male,PhD,Data Scientist,8,19000000
31,Female,Bachelor's,Software Engineer,6,15500000
28,Male,Master's,Product Manager,3,13000000
30,Female,Bachelor's,Data Analyst,5,14500000
27,Male,PhD,Data Scientist,2,11500000
29,Female,Bachelor's,Software Engineer,4,14000000
34,Male,Bachelor's,Product Manager,9,18500000
25,Female,Master's,Data Analyst,1,10000000
33,Male,PhD,Data Scientist,8,19000000
31,Female,Bachelor's,Software Engineer,6,15500000
28,Male,Master's,Product Manager,3,13000000
30,Female,Bachelor's,Data Analyst,5,14500000
28,Male,Bachelor's,Software Engineer,3,12500000
26,Female,Master's,Product Manager,2,12000000
27,Male,Bachelor's,Data Analyst,2,11000000
30,Female,PhD,Data Scientist,5,18000000
29,Male,Bachelor's,Software Engineer,4,14000000
32,Male,Bachelor's,Product Manager,7,17000000
25,Female,Master's,Data Analyst,1,10000000
33,Male,PhD,Data Scientist,8,19000000
31,Female,Bachelor's,Software Engineer,6,15500000
28,Male,Master's,Product Manager,3,13000000
30,Female,Bachelor's,Data Analyst,5,14500000
27,Male,PhD,Data Scientist,2,11500000
29,Female,Bachelor's,Software Engineer,4,14000000
34,Male,Bachelor's,Product Manager,9,18500000
25,Female,Master's,Data Analyst,1,10000000
33,Male,PhD,Data Scientist,8,19000000
31,Female,Bachelor's,Software Engineer,6,15500000
28,Male,Master's,Product Manager,3,13000000
30,Female,Bachelor's,Data Analyst,5,14500000
28,Male,Bachelor's,Software Engineer,3,12500000
26,Female,Master's,Product Manager,2,12000000
27,Male,Bachelor's,Data Analyst,2,11000000
30,Female,PhD,Data Scientist,5,18000000
29,Male,Bachelor's,Software Engineer,4,14000000
32,Male,Bachelor's,Product Manager,7,17000000
25,Female,Master's,Data Analyst,1,10000000
33,Male,PhD,Data Scientist,8,19000000
31,Female,Bachelor's,Software Engineer,6,15500000
28,Male,Master's,Product Manager,3,13000000
30,Female,Bachelor's,Data Analyst,5,14500000
27,Male,PhD,Data Scientist,2,11500000
29,Female,Bachelor's,Software Engineer,4,14000000
34,Male,Bachelor's,Product Manager,9,18500000
25,Female,Master's,Data Analyst,1,10000000
33,Male,PhD,Data Scientist,8,19000000
31,Female,Bachelor's,Software Engineer,6,15500000
28,Male,Master's,Product Manager,3,13000000
30,Female,Bachelor's,Data Analyst,5,14500000
28,Male,Bachelor's,Software Engineer,3,12500000
26,Female,Master's,Product Manager,2,12000000
27,Male,Bachelor's,Data Analyst,2,11000000
30,Female,PhD,Data Scientist,5,18000000
29,Male,Bachelor's,Software Engineer,4,14000000
32,Male,Bachelor's,Product Manager,7,17000000
25,Female,Master's,Data Analyst,1,10000000
33,Male,PhD,Data Scientist,8,19000000
31,Female,Bachelor's,Software Engineer,6,15500000
28,Male,Master's,Product Manager,3,13000000
30,Female,Bachelor's,Data Analyst,5,14500000
27,Male,PhD,Data Scientist,2,11500000
29,Female,Bachelor's,Software Engineer,4,14000000
34,Male,Bachelor's,Product Manager,9,18500000
25,Female,Master's,Data Analyst,1,10000000
33,Male,PhD,Data Scientist,8,19000000
31,Female,Bachelor's,Software Engineer,6,15500000
28,Male,Master's,Product Manager,3,13000000
30,Female,Bachelor's,Data Analyst,5,14500000
27,Male,PhD,Data Scientist,2,11500000
29,Female,Bachelor's,Software Engineer,4,14000000
34,Male,Bachelor's,Product Manager,9,18500000
25,Female,Master's,Data Analyst,1,10000000
33,Male,PhD,Data Scientist,8,19000000
31,Female,Bachelor's,Software Engineer,6,15500000
28,Male,Master's,Product Manager,3,13000000
30,Female,Bachelor's,Data Analyst,5,14500000
28,Male,Bachelor's,Software Engineer,3,12500000
26,Female,Master's,Product Manager,2,12000000
27,Male,Bachelor's,Data Analyst,2,11000000
30,Female,PhD,Data Scientist,5,18000000
29,Male,Bachelor's,Software Engineer,4,14000000
32,Male,Bachelor's,Product Manager,7,17000000
25,Female,Master's,Data Analyst,1,10000000
33,Male,PhD,Data Scientist,8,19000000
31,Female,Bachelor's,Software Engineer,6,15500000
28,Male,Master's,Product Manager,3,13000000
30,Female,Bachelor's,Data Analyst,5,14500000
27,Male,PhD,Data Scientist,2,11500000
29,Female,Bachelor's,Software Engineer,4,14000000
34,Male,Bachelor's,Product Manager,9,18500000
25,Female,Master's,Data Analyst,1,10000000
33,Male,PhD,Data Scientist,8,19000000
31,Female,Bachelor's,Software Engineer,6,15500000
28,Male,Master's,Product Manager,3,13000000
30,Female,Bachelor's,Data Analyst,5,14500000
27,Male,PhD,Data Scientist,2,11500000
29,Female,Bachelor's,Software Engineer,4,14000000
34,Male,Bachelor's,Product Manager,9,18500000
25,Female,Master's,Data Analyst,1,10000000
33,Male,PhD,Data Scientist,8,19000000
31,Female,Bachelor's,Software Engineer,6,15500000
28,Male,Master's,Product Manager,3,13000000
30,Female,Bachelor's,Data Analyst,5,14500000
27,Male,PhD,Data Scientist,2,11500000
29,Female,Bachelor's,Software Engineer,4,14000000
34,Male,Bachelor's,Product Manager,9,18500000
25,Female,Master's,Data Analyst,1,10000000
33,Male,PhD,Data Scientist,8,19000000
31,Female,Bachelor's,Software Engineer,6,15500000
28,Male,Master's,Product Manager,3,13000000
30,Female,Bachelor's,Data Analyst,5,14500000
27,Male,PhD,Data Scientist,2,11500000
29,Female,Bachelor's,Software Engineer,4,14000000
34,Male,Bachelor's,Product Manager,9,18500000
25,Female,Master's,Data Analyst,1,10000000
33,Male,PhD,Data Scientist,8,19000000
31,Female,Bachelor's,Software Engineer,6,15500000
28,Male,Master's,Product Manager,3,13000000
30,Female,Bachelor's,Data Analyst,5,14500000
27,Male,PhD,Data Scientist,2,11500000
29,Female,Bachelor's,Software Engineer,4,14000000
34,Male,Bachelor's,Product Manager,9,18500000
26,Male,Bachelor's,Data Analyst,3,13000000
29,Female,Master's,Data Scientist,6,18000000
32,Male,Bachelor's,Software Engineer,8,19000000
27,Female,Bachelor's,Product Manager,4,15000000
24,Male,Bachelor's,Data Analyst,1,9000000
31,Female,Master's,Data Scientist,9,19500000
28,Male,Bachelor's,Software Engineer,5,16000000
33,Female,Master's,Product Manager,11,19800000
25,Male,Bachelor's,Data Analyst,2,11000000
30,Female,PhD,Data Scientist,7,18500000
27,Male,Bachelor's,Software Engineer,4,14000000
34,Female,Master's,Product Manager,12,19600000
23,Male,Bachelor's,Data Analyst,1,9500000
32,Female,PhD,Data Scientist,10,19300000
29,Male,Bachelor's,Software Engineer,6,17500000
30,Female,Bachelor's,Product Manager,5,16000000
26,Male,Bachelor's,Data Analyst,3,13000000
31,Female,Master's,Data Scientist,6,18000000
28,Male,Bachelor's,Software Engineer,5,16000000
33,Female,Master's,Product Manager,11,19800000
24,Male,Bachelor's,Data Analyst,1,9000000
30,Female,PhD,Data Scientist,7,18500000
27,Male,Bachelor's,Software Engineer,4,14000000
34,Female,Master's,Product Manager,12,19600000
25,Male,Bachelor's,Data Analyst,2,11000000
29,Female,Master's,Data Scientist,6,18000000
32,Male,Bachelor's,Software Engineer,8,19000000
27,Female,Bachelor's,Product Manager,4,15000000
31,Male,Bachelor's,Data Analyst,9,19500000
28,Female,Bachelor's,Software Engineer,5,16000000
33,Male,Master's,Product Manager,11,19800000
26,Female,Bachelor's,Data Analyst,3,13000000
30,Male,PhD,Data Scientist,7,18500000
27,Female,Bachelor's,Software Engineer,4,14000000
34,Male,Master's,Product Manager,12,19600000
25,Female,Bachelor's,Data Analyst,2,11000000
32,Male,Bachelor's,Software Engineer,8,19000000
29,Female,Master's,Data Scientist,6,18000000
30,Male,Bachelor's,Data Analyst,5,16000000
33,Female,Master's,Product Manager,11,19800000
24,Male,Bachelor's,Data Analyst,1,9000000
31,Female,PhD,Data Scientist,9,19500000
28,Male,Bachelor's,Software Engineer,5,16000000
27,Female,Bachelor's,Product Manager,4,15000000
26,Male,Bachelor's,Data Analyst,3,13000000
